,0
E_votes_3,0.013209839044267145
E_votes_num,0.028835189968662155
E_votes_mean,0.012166937946361056
E_votes_2,0.007551044022239928
E_votes_std,0.016225988805997706
E_votes_1,0.005271327557497928
E_votes_4,0.012417154564371669
E_likes_mean,0.009759395044416247
E_likes_sum,0.008706312734053513
E_likes_num,0.005717819643123949
E_likes_std,0.010335756248300463
E_dislikes_std,0.008750228230880699
E_dislikes_sum,0.007268817507876117
E_dislikes_num,0.005365558278201633
E_dislikes_mean,0.008223443602365137
E_com_num,0.006335124129118205
E_com_std,0.008607487076914784
E_com_sum,0.009491635730658648
E_com_mean,0.011913488417868339
E_comid,0.00561485259220775
G_interactions_degree,0.008621315203524079
G_interactions_w_degree,0.011415004354953871
G_interactions_degree_u,0.01018511347014704
G_interactions_w_degree_u,0.01668505911957064
G_interactions_betweenness_centrality,0.00804665851728111
G_interactions_w_betweenness_centrality,0.010437868225435635
G_interactions_betweenness_centrality_u,0.0098319919989617
G_interactions_w_betweenness_centrality_u,0.015769435792571413
G_interactions_NMF1_d,0.00236803796869402
G_interactions_NMF1_u,0.005772482230594392
G_interactions_NMF2_d,0.0024932016160001055
G_interactions_NMF2_u,0.004040673193809167
G_rel_agree_degree,0.011428015661527279
G_rel_agree_w_degree,0.012737404163365846
G_rel_agree_degree_u,0.010383798439609914
G_rel_agree_w_degree_u,0.012812172970321398
G_rel_agree_betweenness_centrality,0.009487547336439136
G_rel_agree_w_betweenness_centrality,0.007579554063170559
G_rel_agree_betweenness_centrality_u,0.009815923815625974
G_rel_agree_w_betweenness_centrality_u,0.0011791504962041786
G_rel_agree_NMF1_d,0.0018054960876622667
G_rel_agree_NMF1_u,0.0030664278891500665
G_rel_agree_NMF2_d,0.002141744553594206
G_rel_agree_NMF2_u,0.0032554257327443567
votes_3,0.007266650451999889
votes_num,0.007003811273672195
votes_mean,0.011493529112315515
votes_2,0.007933529446327737
votes_std,0.007986488343587532
votes_1,0.00700627095359657
votes_4,0.009170452183072553
likes_mean,0.007773949141636664
likes_sum,0.0059077041136503345
likes_num,0.005763878280653938
likes_std,0.005976237648994098
dislikes_std,0.010129994515092347
dislikes_sum,0.008766414273222164
dislikes_num,0.0075833547741869685
dislikes_mean,0.0082672293711287
com_num,0.006661008854231203
com_std,0.010573472044528857
com_sum,0.006669561768979489
com_mean,0.00886540843795055
CE_votes_3,0.011388000909184171
CE_votes_num,0.0299953406822858
CE_votes_mean,0.011680101798599886
CE_votes_2,0.0066771152773010675
CE_votes_std,0.017381582642482782
CE_votes_1,0.005682829515953317
CE_votes_4,0.011236399705815437
CE_likes_mean,0.010399994387353012
CE_likes_sum,0.008258467484698155
CE_likes_num,0.005959773292951838
CE_likes_std,0.008822420596125122
CE_dislikes_std,0.010655338842385727
CE_dislikes_sum,0.007558965506285791
CE_dislikes_num,0.0055009544856584715
CE_dislikes_mean,0.009113200143388912
CE_com_num,0.006110026759635043
CE_com_std,0.008289296442158008
CE_com_sum,0.008856145462550324
CE_com_mean,0.009456984966199636
CE_comid,0.004605981666436848
CEG_interactions_degree,0.009155028452200169
CEG_interactions_w_degree,0.012306127310026166
CEG_interactions_degree_u,0.009329520937268852
CEG_interactions_w_degree_u,0.01211117389776209
CEG_interactions_betweenness_centrality,0.008717533592143587
CEG_interactions_w_betweenness_centrality,0.010944702983070152
CEG_interactions_betweenness_centrality_u,0.009845402184611341
CEG_interactions_w_betweenness_centrality_u,0.0140308295908393
CEG_interactions_NMF1_d,0.012542050421050778
CEG_interactions_NMF1_u,0.013269671685654374
CEG_interactions_NMF2_d,0.011889705226458483
CEG_interactions_NMF2_u,0.013088651590166001
CEG_rel_agree_degree,0.009256123334704849
CEG_rel_agree_w_degree,0.011165400859635232
CEG_rel_agree_degree_u,0.009404446204706639
CEG_rel_agree_w_degree_u,0.009763651223688984
CEG_rel_agree_betweenness_centrality,0.007836719897644515
CEG_rel_agree_w_betweenness_centrality,0.0080382063313847
CEG_rel_agree_betweenness_centrality_u,0.008197902970442084
CEG_rel_agree_w_betweenness_centrality_u,0.008158564383547858
CEG_rel_agree_NMF1_d,0.012118115587455427
CEG_rel_agree_NMF1_u,0.013303591940512043
CEG_rel_agree_NMF2_d,0.011605406533419309
CEG_rel_agree_NMF2_u,0.012366703258988995
